,TeamID,SEASON,LeagueID,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
0,1610612737,2018,00,Justin Anderson,1,G-F,6-6,230,"NOV 19, 1993",24.0,3,Virginia,1626147
1,1610612737,2018,00,Tyler Dorsey,2,G,6-5,183,"FEB 18, 1996",22.0,1,Oregon,1628416
2,1610612737,2018,00,Kevin Huerter,3,G,6-7,190,"AUG 27, 1998",20.0,R,Maryland,1628989
3,1610612737,2018,00,Daniel Hamilton,5,G-F,6-7,195,"AUG 08, 1995",23.0,1,Connecticut,1627772
4,1610612737,2018,00,Omari Spellman,6,F,6-9,245,"JUL 21, 1997",21.0,R,Villanova,1629016
5,1610612737,2018,00,Jeremy Lin,7,G,6-3,200,"AUG 23, 1988",30.0,8,Harvard,202391
6,1610612737,2018,00,Jaylen Adams,10,G,6-2,190,"MAY 04, 1996",22.0,R,St. Bonaventure,1629121
7,1610612737,2018,00,Trae Young,11,G,6-2,180,"SEP 19, 1998",20.0,R,Oklahoma,1629027
8,1610612737,2018,00,Taurean Prince,12,F,6-8,220,"MAR 22, 1994",24.0,2,Baylor,1627752
9,1610612737,2018,00,Dewayne Dedmon,14,C,7-0,245,"AUG 12, 1989",29.0,5,Southern California,203473
10,1610612737,2018,00,Vince Carter,15,F-G,6-6,220,"JAN 26, 1977",41.0,20,North Carolina,1713
11,1610612737,2018,00,Miles Plumlee,18,C,6-11,249,"SEP 01, 1988",30.0,6,Duke,203101
12,1610612737,2018,00,John Collins,20,F-C,6-10,235,"SEP 23, 1997",21.0,1,Wake Forest,1628381
13,1610612737,2018,00,Alex Poythress,22,F,6-9,235,"SEP 06, 1993",25.0,2,Kentucky,1627816
14,1610612737,2018,00,Kent Bazemore,24,G,6-5,201,"JUL 01, 1989",29.0,6,Old Dominion,203145
15,1610612737,2018,00,Alex Len,25,C,7-1,250,"JUN 16, 1993",25.0,5,Maryland,203458
16,1610612737,2018,00,DeAndre' Bembry,95,F,6-6,210,"JUL 04, 1994",24.0,2,Saint Joseph's,1627761
0,1610612738,2018,00,Jayson Tatum,0,F,6-8,208,"MAR 03, 1998",20.0,1,Duke,1628369
1,1610612738,2018,00,Jaylen Brown,7,G,6-7,220,"OCT 24, 1996",22.0,2,California,1627759
2,1610612738,2018,00,Brad Wanamaker,9,G,6-4,210,"JUL 25, 1989",29.0,R,Pittsburgh,202954
3,1610612738,2018,00,Kyrie Irving,11,G,6-3,193,"MAR 23, 1992",26.0,7,Duke,202681
4,1610612738,2018,00,Terry Rozier,12,G,6-1,190,"MAR 17, 1994",24.0,3,Louisville,1626179
5,1610612738,2018,00,Marcus Morris,13,F,6-9,235,"SEP 02, 1989",29.0,7,Kansas,202694
6,1610612738,2018,00,Gordon Hayward,20,F,6-8,225,"MAR 23, 1990",28.0,8,Butler,202330
7,1610612738,2018,00,Jabari Bird,26,G,6-6,198,"JUL 03, 1994",24.0,1,California,1628444
8,1610612738,2018,00,Daniel Theis,27,F,6-8,243,"APR 04, 1992",26.0,1,,1628464
9,1610612738,2018,00,Guerschon Yabusele,30,F,6-8,260,"DEC 17, 1995",22.0,1,,1627824
10,1610612738,2018,00,Marcus Smart,36,G,6-4,220,"MAR 06, 1994",24.0,4,Oklahoma State,203935
11,1610612738,2018,00,Semi Ojeleye,37,F,6-7,241,"DEC 05, 1994",23.0,1,Southern Methodist,1628400
12,1610612738,2018,00,Al Horford,42,C-F,6-10,245,"JUN 03, 1986",32.0,11,Florida,201143
